LA 	ANDES ORIGEN ROJA RETORNABLE DE 340 POR 24	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN ROJA RET X24 340	y codigo	18593	con preferencia	0

LA 	ANDES ORIGEN ROJA SLIM BARRIL DE 20	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN ROJA SLIM KEG 20L	y codigo	19538	con preferencia	0

LA 	ANDES ORIGEN RUBIA LATA	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN RUBIA CAN 4X6 473	y codigo	16811	con preferencia	0

LA 	ANDES ORIGEN RUBIA BARRIL DE 20	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN RUBIA EURO KEG 20L	y codigo	19545	con preferencia	0

LA 	ANDES ORIGEN RUBIA RETORNABLE DE LITRO POR 12	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN RUBIA RET X12 1000	y codigo	16668	con preferencia	0

LA 	ANDES ORIGEN RUBIA SLIM BARRIL DE 20	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN RUBIA SLIM KEG 20L	y codigo	19542	con preferencia	0

LA 	AGUA FRUT MANZANA SIN AZUCAR DE 1650 POR 6	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AW MANZANA SIN AZ AG X6 1650CC	y codigo	24999	con preferencia	0

LA 	AGUA FRUT MANZANA SIN AZUCAR DE MEDIO	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AW MANZANA SIN AZ AG X6 500CC	y codigo	25036	con preferencia	0

LA 	AGUA FRUT NARANJA DURAZNO SIN AZUCAR DE MEDIO	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AW NAR-DUR SIN AZ AG X6 500CC	y codigo	25030	con preferencia	0

LA 	AGUA FRUT POMELO SIN AZUCAR DE 1650 POR 6	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AW POMELO SIN AZ AG X6 1650CC	y codigo	25034	con preferencia	0

LA 	AGUA FRUT POMELO SIN AZUCAR DE MEDIO	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AW POMELO SIN AZ AG X6 500CC	y codigo	25033	con preferencia	0

